Flight ID,Flight Number,Departure Date,Departure Time,Price,Destination Base ID,Arrival Base ID,Arrival Date,Arrival Time
3003,FL3003,2032-07-02,10:01:00,3499.93,6,3,2032-07-02,12:31:00
3004,FL3004,2032-07-03,10:02:00,1745.38,4,2,2032-07-03,12:32:00
3005,FL3005,2032-07-04,10:03:00,2138.57,10,9,2032-07-04,12:33:00
3006,FL3006,2032-07-05,10:04:00,2895.47,11,9,2032-07-05,12:34:00
3007,FL3007,2032-07-06,10:05:00,3248.79,3,7,2032-07-06,12:35:00
3008,FL3008,2032-07-07,10:06:00,1994.65,11,4,2032-07-07,12:36:00
3009,FL3009,2032-07-08,10:07:00,2845.9,10,11,2032-07-08,12:37:00
3010,FL3010,2032-07-09,10:08:00,2428.43,11,12,2032-07-09,12:38:00
3011,FL3011,2032-07-10,10:09:00,2822.95,9,10,2032-07-10,12:39:00
3012,FL3012,2032-07-11,10:10:00,2023.82,1,12,2032-07-11,12:40:00
3013,FL3013,2032-07-12,10:11:00,2355.45,2,8,2032-07-12,12:41:00
3014,FL3014,2032-07-13,10:12:00,2003.74,4,5,2032-07-13,12:42:00
3015,FL3015,2032-07-14,10:13:00,2905.07,4,3,2032-07-14,12:43:00
3016,FL3016,2032-07-15,10:14:00,1964.04,10,5,2032-07-15,12:44:00
3017,FL3017,2032-07-16,10:15:00,1809.54,12,6,2032-07-16,12:45:00
3018,FL3018,2032-07-17,10:16:00,1803.89,6,9,2032-07-17,12:46:00
3019,FL3019,2032-07-18,10:17:00,3274.41,8,12,2032-07-18,12:47:00
3020,FL3020,2032-07-19,10:18:00,1601.15,10,1,2032-07-19,12:48:00
3021,FL3021,2032-07-20,10:19:00,2911.86,9,1,2032-07-20,12:49:00
3022,FL3022,2032-07-21,10:20:00,3060.57,2,7,2032-07-21,12:50:00
3023,FL3023,2032-07-22,10:21:00,2415.46,9,11,2032-07-22,12:51:00
3024,FL3024,2032-07-23,10:22:00,2195.56,2,7,2032-07-23,12:52:00
3025,FL3025,2032-07-24,10:23:00,1840.93,11,3,2032-07-24,12:53:00
3026,FL3026,2032-07-25,10:24:00,3314.73,10,6,2032-07-25,12:54:00
3027,FL3027,2032-07-26,10:25:00,1537.35,10,12,2032-07-26,12:55:00
3028,FL3028,2032-07-27,10:26:00,1774.28,11,12,2032-07-27,12:56:00
3029,FL3029,2032-07-28,10:27:00,3170.57,1,10,2032-07-28,12:57:00
3030,FL3030,2032-07-29,10:28:00,1803.02,12,12,2032-07-29,12:58:00
3031,FL3031,2032-07-30,10:29:00,2537.68,1,9,2032-07-30,12:59:00
